state,class,candidate,party,incumbent,win_probability,voteshare,p10_voteshare,p90_voteshare,race_type,district,won
KS,NA,Sharice Davids,D,false,0.8652,51.92,47.74,56.07,house,3,TRUE
KS,NA,Ron Estes,R,true,0.9959,60.13,55.68,64.61,house,4,TRUE
KY,NA,James Comer,R,true,1,69,64.29,73.76,house,1,TRUE
KY,NA,Brett S. Guthrie,R,true,0.9996,62.21,57.45,66.92,house,2,TRUE
KY,NA,John A. Yarmuth,D,true,0.9992,61.15,56.55,65.71,house,3,TRUE
KY,NA,Thomas Massie,R,true,0.9996,63.56,58.93,68.11,house,4,TRUE
KY,NA,Harold Rogers,R,true,1,75.25,70.11,80.4,house,5,TRUE
KY,NA,Andy Barr,R,true,0.5733,48.9,45.05,52.77,house,6,TRUE
LA,NA,Steve Scalise,R,true,1,68.75,61.41,76.66,house,1,TRUE
LA,NA,Cedric Richmond,D,true,1,85.31,78.94,91.19,house,2,TRUE
LA,NA,Clay Higgins,R,true,0.9958,54.86,47.64,62.75,house,3,TRUE
LA,NA,Mike Johnson,R,true,0.9995,62.43,57.52,67.34,house,4,TRUE
LA,NA,Ralph Abraham,R,true,0.9999,63.99,59.15,68.81,house,5,TRUE
LA,NA,Garret Graves,R,true,0.9999,65.61,58.47,73.42,house,6,TRUE
MA,NA,Richard E. Neal,D,true,1,100,100,100,house,1,TRUE
MA,NA,James McGovern,D,true,1,71.25,66.55,75.89,house,2,TRUE
MA,NA,Lori Trahan,D,false,0.9997,64.28,59.21,69.23,house,3,TRUE
MA,NA,Joseph P. Kennedy III,D,true,1,100,100,100,house,4,TRUE
MA,NA,Katherine Clark,D,true,1,76.88,72.11,81.69,house,5,TRUE
MA,NA,Seth Moulton,D,true,1,67.02,61.95,72.07,house,6,TRUE
MA,NA,Ayanna Pressley,D,false,1,100,100,100,house,7,TRUE
MA,NA,Stephen F. Lynch,D,true,1,100,100,100,house,8,TRUE
MA,NA,William Keating,D,true,0.9982,62.43,57.52,67.27,house,9,TRUE
MD,NA,Andy Harris,R,true,0.9938,58.57,53.55,63.6,house,1,TRUE
MD,NA,C. A. Dutch Ruppersberger,D,true,1,67.46,62.67,72.22,house,2,TRUE
MD,NA,John P. Sarbanes,D,true,1,68.39,63.6,73.21,house,3,TRUE
MD,NA,Anthony Brown,D,true,1,78.66,74.05,83.19,house,4,TRUE
MD,NA,Steny H. Hoyer,D,true,1,70.61,65.92,75.2,house,5,TRUE
MD,NA,David Trone,D,false,0.9962,58.65,53.8,63.38,house,6,TRUE
MD,NA,Elijah Cummings,D,true,1,77.15,72.51,81.68,house,7,TRUE
MD,NA,Jamie Raskin,D,true,1,69.23,64.41,74.01,house,8,TRUE
ME,NA,Chellie Pingree,D,true,0.9997,61.54,57.11,65.88,house,1,TRUE
ME,NA,Jared Golden,D,false,0.6451,49.42,44.96,53.83,house,2,TRUE
MI,NA,Jack Bergman,R,true,0.9572,55.97,51.59,60.27,house,1,TRUE
MI,NA,Bill Huizenga,R,true,0.9764,55.32,51.09,59.52,house,2,TRUE
MI,NA,Justin Amash,R,true,0.9821,56.48,51.71,61.23,house,3,TRUE
MI,NA,John Moolenaar,R,true,0.9987,63.25,58.47,68.11,house,4,TRUE
MI,NA,Daniel Kildee,D,true,0.9999,65.21,60.18,70.14,house,5,TRUE
MI,NA,Fred Upton,R,true,0.8294,51.52,47.31,55.74,house,6,TRUE
MI,NA,Tim Walberg,R,true,0.7508,52.42,47.74,57.14,house,7,TRUE
MI,NA,Elissa Slotkin,D,false,0.7064,50.07,46.18,53.84,house,8,TRUE
MI,NA,Andy Levin,D,false,0.9978,59.67,54.78,64.54,house,9,TRUE
MI,NA,Paul Mitchell,R,true,0.9992,62.15,57.2,67.03,house,10,TRUE
MI,NA,Haley Stevens,D,false,0.8229,50.72,46.62,54.7,house,11,TRUE
MI,NA,Debbie Dingell,D,true,1,69.71,65.01,74.36,house,12,TRUE
MI,NA,Rashida Tlaib,D,false,1,85.85,79.55,91.64,house,13,TRUE
MI,NA,Brenda Lawrence,D,true,1,80.44,75.79,85,house,14,TRUE
MN,NA,Dan Feehan,D,false,0.599,50.72,46.87,54.55,house,1,FALSE
MN,NA,Angie Craig,D,false,0.8715,53.18,49.58,56.74,house,2,TRUE
MN,NA,Dean Phillips,D,false,0.86,53.1,49.4,56.8,house,3,TRUE
MN,NA,Betty McCollum,D,true,1,67.65,62.74,72.51,house,4,TRUE
MN,NA,Ilhan Omar,D,false,1,80.84,76.52,85.16,house,5,TRUE
MN,NA,Tom Emmer,R,true,0.9992,63.29,58.78,67.81,house,6,TRUE
MN,NA,Collin C. Peterson,D,true,0.9604,56.43,51.85,60.95,house,7,TRUE
MN,NA,Pete Stauber,R,false,0.8213,51.08,46.26,55.88,house,8,TRUE
MO,NA,"William ""Lacy"" Clay Jr.",D,true,1,78.8,74.18,83.41,house,1,TRUE
MO,NA,Ann Wagner,R,true,0.9153,52.74,48.48,56.95,house,2,TRUE
MO,NA,Blaine Luetkemeyer,R,true,1,66.33,61.54,71,house,3,TRUE
MO,NA,Vicky Hartzler,R,true,0.9996,62.54,57.89,67.06,house,4,TRUE
MO,NA,Emanuel Cleaver,D,true,0.9994,62.65,57.82,67.47,house,5,TRUE
MO,NA,Sam Graves,R,true,0.9998,64.48,59.73,69.22,house,6,TRUE
MO,NA,Billy Long,R,true,1,67.67,62.95,72.38,house,7,TRUE
MO,NA,Jason Smith,R,true,1,69.17,63.99,74.29,house,8,TRUE
MS,NA,Trent Kelly,R,true,0.9997,61.84,57.46,66.25,house,1,TRUE
MS,NA,Bennie G. Thompson,D,true,1,75.69,71.13,80.21,house,2,TRUE
MS,NA,Michael Guest,R,false,0.9979,59.01,54.54,63.49,house,3,TRUE
MS,NA,Steven Palazzo,R,true,0.997,59.48,54.81,64.12,house,4,TRUE
