score_away,score_home,team_away,team_home,win_prob_away,win_prob_home
73,103,Knicks,Celtics,19,81
108,124,Bulls,Trail Blazers,23,77
88,102,Mavericks,Suns,48,52
96,102,Thunder,Wizards,54,46
95,111,Nets,Knicks,30,70
104,109,Timberwolves,Raptors,25,75
114,125,Cavaliers,Pistons,50,50
107,114,Magic,Rockets,9,91
114,103,Kings,Pelicans,14,86
104,106,Nuggets,Spurs,22,78
99,129,Warriors,Jazz,67,33
104,96,Trail Blazers,Clippers,37,63
96,105,Hornets,Pacers,35,65
100,105,Timberwolves,Hawks,72,28
95,107,76ers,Bucks,43,57
109,120,Suns,Grizzlies,24,76
95,88,Heat,Mavericks,45,55
111,110,Celtics,Nuggets,39,61
110,96,Bucks,Bulls,48,52
102,113,Suns,Rockets,8,92
112,103,Clippers,Pelicans,34,66
104,121,Pistons,Cavaliers,20,80
111,123,Lakers,Raptors,15,85
112,122,76ers,Thunder,35,65
98,113,Kings,Spurs,12,88
121,108,Thunder,Pistons,58,42
112,114,Magic,Pacers,24,76
91,95,Hornets,Heat,31,69
129,104,Wizards,Hawks,62,38
105,109,Celtics,Warriors,19,81
97,111,Nets,Timberwolves,11,89
89,91,Mavericks,Nuggets,19,81
110,121,Hawks,Hornets,20,80
108,115,Pacers,Cavaliers,34,66
97,93,Jazz,Raptors,18,82
91,116,Nets,Bucks,25,75
113,115,Rockets,Pelicans,54,46
109,100,Clippers,Grizzlies,50,50
108,103,Lakers,Bulls,35,65
97,78,76ers,Spurs,29,71
107,93,Trail Blazers,Mavericks,45,55
107,85,Knicks,Suns,37,63
89,88,Kings,Heat,16,84
112,121,Wizards,Thunder,22,78
118,130,Knicks,Nuggets,22,78
113,126,Timberwolves,Warriors,18,82
101,115,Bulls,76ers,23,77
101,96,Pelicans,Hornets,40,60
101,116,Suns,Pacers,22,78
98,95,Jazz,Pistons,36,64
108,93,Raptors,Hawks,73,27
104,97,Rockets,Mavericks,65,35
108,85,Spurs,Grizzlies,50,50
