href,id,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
https://api.spotify.com/v1/artists/32ogthv0BdaSMPml02X9YB,32ogthv0BdaSMPml02X9YB,The Cinematic Orchestra,65,artist,spotify:artist:32ogthv0BdaSMPml02X9YB,https://open.spotify.com/artist/32ogthv0BdaSMPml02X9YB,NA,435978
https://api.spotify.com/v1/artists/1PmVyfIR9KtCxbHWuga8E5,1PmVyfIR9KtCxbHWuga8E5,Lorn,56,artist,spotify:artist:1PmVyfIR9KtCxbHWuga8E5,https://open.spotify.com/artist/1PmVyfIR9KtCxbHWuga8E5,NA,159512
https://api.spotify.com/v1/artists/37uLId6Z5ZXCx19vuruvv5,37uLId6Z5ZXCx19vuruvv5,Hot Chip,63,artist,spotify:artist:37uLId6Z5ZXCx19vuruvv5,https://open.spotify.com/artist/37uLId6Z5ZXCx19vuruvv5,NA,520901
https://api.spotify.com/v1/artists/6Tyzp9KzpiZ04DABQoedps,6Tyzp9KzpiZ04DABQoedps,Little Dragon,68,artist,spotify:artist:6Tyzp9KzpiZ04DABQoedps,https://open.spotify.com/artist/6Tyzp9KzpiZ04DABQoedps,NA,499109
https://api.spotify.com/v1/artists/22ojy4H4ZVpowC4lRRC8In,22ojy4H4ZVpowC4lRRC8In,Destroyer,54,artist,spotify:artist:22ojy4H4ZVpowC4lRRC8In,https://open.spotify.com/artist/22ojy4H4ZVpowC4lRRC8In,NA,119589
https://api.spotify.com/v1/artists/5Z3IWpvwOvoaWodujHw7xh,5Z3IWpvwOvoaWodujHw7xh,Dan Deacon,50,artist,spotify:artist:5Z3IWpvwOvoaWodujHw7xh,https://open.spotify.com/artist/5Z3IWpvwOvoaWodujHw7xh,NA,81147
https://api.spotify.com/v1/artists/38zTZcuN7nFvVJ6auhc6V3,38zTZcuN7nFvVJ6auhc6V3,Deerhunter,58,artist,spotify:artist:38zTZcuN7nFvVJ6auhc6V3,https://open.spotify.com/artist/38zTZcuN7nFvVJ6auhc6V3,NA,280507
https://api.spotify.com/v1/artists/2Jv5eshHtLycR6R8KQCdc4,2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,61,artist,spotify:artist:2Jv5eshHtLycR6R8KQCdc4,https://open.spotify.com/artist/2Jv5eshHtLycR6R8KQCdc4,NA,653531
https://api.spotify.com/v1/artists/1R84VlXnFFULOsWWV8IrCQ,1R84VlXnFFULOsWWV8IrCQ,Panda Bear,54,artist,spotify:artist:1R84VlXnFFULOsWWV8IrCQ,https://open.spotify.com/artist/1R84VlXnFFULOsWWV8IrCQ,NA,152669
https://api.spotify.com/v1/artists/5zS8r5hRRk1jzD41yYS1NO,5zS8r5hRRk1jzD41yYS1NO,Baths,47,artist,spotify:artist:5zS8r5hRRk1jzD41yYS1NO,https://open.spotify.com/artist/5zS8r5hRRk1jzD41yYS1NO,NA,133676
