Date,Name,Year,Letterboxd URI,Rating
2021-07-31,A Room with a View,1985,https://boxd.it/1UfC,2.5
2021-08-01,Lost in Translation,2003,https://boxd.it/2b0E,4.5
2021-08-02,All About Eve,1950,https://boxd.it/29LI,4.5
2021-08-03,The Green Knight,2021,https://boxd.it/kuy2,3.5
2021-08-03,'71,2014,https://boxd.it/7nWK,4
2021-08-06,The Deer Hunter,1978,https://boxd.it/1T6O,3.5
2021-08-06,Apocalypse Now,1979,https://boxd.it/6ZS,4.5
2021-08-08,An American in Paris,1951,https://boxd.it/26kY,2.5
2021-08-08,Barry Lyndon,1975,https://boxd.it/25A2,4.5
2021-08-09,Jaws,1975,https://boxd.it/2a5e,4
2021-08-09,The Departed,2006,https://boxd.it/28MA,2
2021-08-09,Black Dynamite,2009,https://boxd.it/1wX6,4
2021-08-10,The Graduate,1967,https://boxd.it/18Im,4
2021-08-10,The Unbearable Lightness of Being,1988,https://boxd.it/1VKc,3.5
2021-08-11,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2021-08-12,Three Colors: Blue,1993,https://boxd.it/2b7K,3.5
2021-08-12,Three Colors: White,1994,https://boxd.it/2b7A,2.5
2021-08-13,Three Colors: Red,1994,https://boxd.it/2b7q,4.5
2021-08-13,The Suicide Squad,2021,https://boxd.it/fw6O,1.5
2021-08-14,Schindler's List,1993,https://boxd.it/2aq2,4.5
2021-08-15,Amadeus,1984,https://boxd.it/2aH8,3
2021-08-16,The Last Emperor,1987,https://boxd.it/29Ji,2.5
2021-08-16,Kicking and Screaming,1995,https://boxd.it/1pHK,3
2021-08-17,Midnight Cowboy,1969,https://boxd.it/25Hi,3
2021-08-18,Raging Bull,1980,https://boxd.it/28yI,3.5
2021-08-18,It Happened One Night,1934,https://boxd.it/25Ng,3.5
2021-08-19,Jurassic Park,1993,https://boxd.it/2aA2,4.5
2021-08-20,Catch Me If You Can,2002,https://boxd.it/29VS,4
2021-08-20,You've Got Mail,1998,https://boxd.it/1Yye,3
2021-08-20,Sleepless in Seattle,1993,https://boxd.it/29re,3
2021-08-21,The Dead Don't Die,2019,https://boxd.it/juZg,1.5
2021-08-21,Annette,2021,https://boxd.it/f0RS,2
2021-08-21,Mirror,1975,https://boxd.it/28Q8,2.5
2021-08-22,Reminiscence,2021,https://boxd.it/lhMM,1.5
2021-08-23,For Your Consideration,2006,https://boxd.it/1NmG,2.5
2021-08-24,Lolita,1962,https://boxd.it/29Ag,1.5
2021-08-24,Somewhere,2010,https://boxd.it/14du,4
2021-08-25,Cléo from 5 to 7,1962,https://boxd.it/2agm,3.5
2021-08-25,Punch-Drunk Love,2002,https://boxd.it/20E4,4.5
2021-08-25,Soul,2020,https://boxd.it/ioLA,4
2021-08-27,Brief Encounter,1945,https://boxd.it/29sm,4
2021-08-28,Boogie Nights,1997,https://boxd.it/23um,4.5
2021-08-28,Her,2013,https://boxd.it/4O24,5
2021-08-28,Kramer vs. Kramer,1979,https://boxd.it/h0w,3.5
2021-08-29,Spider-Man: Far from Home,2019,https://boxd.it/fegG,3
2021-09-01,Magnolia,1999,https://boxd.it/2aze,4.5
2021-09-01,Inherent Vice,2014,https://boxd.it/5hla,3
2021-09-02,Hard Eight,1996,https://boxd.it/20DU,3
2021-09-03,Slumdog Millionaire,2008,https://boxd.it/1S3E,3
2021-09-04,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2021-09-05,A Woman Under the Influence,1974,https://boxd.it/1myg,3.5
2021-09-05,Drunken Master,1978,https://boxd.it/1Ujk,4
2021-09-05,Paper Moon,1973,https://boxd.it/1Ud2,5
2021-09-06,"What's Up, Doc?",1972,https://boxd.it/21iy,2.5
2021-09-08,The Last Picture Show,1971,https://boxd.it/1weg,5
2021-09-08,Harold and Maude,1971,https://boxd.it/2axM,3.5
2021-09-08,Roman Holiday,1953,https://boxd.it/29zW,4
2021-09-09,Network,1976,https://boxd.it/1VqG,4
2021-09-10,The Long Goodbye,1973,https://boxd.it/281O,3
2021-09-11,Kate,2021,https://boxd.it/m2qy,1.5
2021-09-11,McCabe & Mrs. Miller,1971,https://boxd.it/1ooC,3.5
2021-09-12,Being There,1979,https://boxd.it/1WxS,4
2021-09-13,Charade,1963,https://boxd.it/23O2,3.5
2021-09-14,In the Mood for Love,2000,https://boxd.it/29tE,4
