n,ctl,t0,lift,power
15e3,0.30000000000000004,0.7,0.05,1
2e4,0.30000000000000004,0.7,0.05,1
5e3,0.35,0.7,0.05,0.968
1e4,0.35,0.7,0.05,1
15e3,0.35,0.7,0.05,1
2e4,0.35,0.7,0.05,1
5e3,0.4,0.7,0.05,0.97
1e4,0.4,0.7,0.05,1
15e3,0.4,0.7,0.05,1
2e4,0.4,0.7,0.05,1
5e3,0.45000000000000007,0.7,0.05,0.967
1e4,0.45000000000000007,0.7,0.05,1
15e3,0.45000000000000007,0.7,0.05,1
2e4,0.45000000000000007,0.7,0.05,1
5e3,0.5,0.7,0.05,0.974
1e4,0.5,0.7,0.05,1
15e3,0.5,0.7,0.05,1
2e4,0.5,0.7,0.05,1
