year,pace
2011,90.9
2011,90.4
2011,90.7
2011,92.3
2011,91.2
2011,90.4
2011,95.6
2011,91.3
2011,92.7
2011,91.9
2011,94.2
2011,87.9
2011,88.7
2011,91.7
2011,95.6
2011,94.4
2011,89.8
2011,89.3
2011,94.7
2011,91
2011,94.8
2011,92.8
2011,89.2
2011,89.6
2011,95.2
2011,96.5
2011,89.9
2011,92.9
2011,93.8
2011,93
2012,89.1
2012,92.9
2012,93
2012,91.2
2012,89.7
2012,94.2
2012,89.2
2012,90.2
2012,90.7
2012,90.8
2012,93.2
2012,90.4
2012,90.5
2012,91.4
2012,91.4
2012,91.7
2012,89
2012,92.6
2012,91.2
2012,93.7
2012,93.3
2012,92.3
2012,88.3
2012,89.3
2012,94.7
2012,92.5
2012,89.2
2012,90.1
2012,91.3
2012,91.1
2013,93.3
2013,90.7
2013,94.2
2013,91.1
2013,95.1
2013,88.4
2013,89.8
2013,96.1
2013,90.2
2013,94.4
2013,94.5
2013,88.8
2013,90.9
2013,89.3
2013,92.6
2013,94.1
2013,91.7
2013,94.7
2013,92.8
2013,90.4
2013,91.4
2013,92.2
2013,88.5
2013,91
2013,93.6
2013,90.8
2013,92.3
2013,93.4
2013,92.2
2013,91.5
2014,95
2014,95.9
2014,95.4
2014,96.2
2014,96.3
2014,94.9
2014,91.2
2014,92.5
2014,97.3
2014,95.8
2014,93.5
2014,91.8
2014,89.9
2014,90.2
2014,93.2
2014,94.6
2014,92.4
2014,98.1
2014,90.3
2014,91.4
2014,92.2
2014,94.4
2014,93.1
2014,94.9
2014,93.3
2014,98.7
2014,93.6
2014,91.4
2014,91.8
2014,99.2
2015,98.3
2015,94.7
2015,93.8
2015,93.9
2015,94.2
2015,92.3
2015,96.5
2015,92
2015,95.2
2015,92.8
2015,95.7
2015,92.8
2015,91.4
2015,90.4
2015,93.7
2015,94.1
2015,93.2
2015,96.3
2015,95.8
2015,92.8
2015,90.9
2015,96.1
2015,95.4
2015,92.7
2015,93
2015,93.8
2015,94
2015,94.4
2015,95.7
2015,91.2
2016,99.3
2016,93.8
2016,96.7
2016,93.3
2016,95.8
2016,92.9
2016,97.1
2016,98.5
2016,95.7
2016,91
2016,96.6
2016,93.6
2016,96
2016,95.1
2016,97.6
2016,94.3
2016,98.5
2016,95.7
2016,96
2016,93.3
2016,100
2016,93.4
2016,95.7
2016,95.2
2016,96.8
2016,94.2
2016,98.5
2016,95.2
2016,95.6
2016,97.9
2017,99.8
2017,94.2
2017,100
2017,96.1
2017,91.6
2017,94.7
2017,96.2
2017,96.8
2017,97.4
2017,97.8
2017,92.3
2017,95.2
2017,98.3
2017,95.3
2017,95.7
2017,96.7
2017,94.5
2017,95.9
2017,94.6
2017,97.4
2017,95
2017,98
2017,92.2
2017,94.9
2017,96
2017,100.3
2017,98.5
2017,98.5
2017,96.8
2017,101.3
2018,97.6
2018,97.4
2018,99.6
2018,95.7
2018,99.8
2018,96.7
2018,96
2018,95
2018,96.5
2018,96
2018,96.8
2018,100.5
2018,96
2018,98
2018,96.6
2018,98.7
2018,95.6
2018,98.4
2018,96.2
2018,96.2
2018,100.3
2018,95.6
2018,96.8
2018,98.9
2018,98.1
2018,98.3
2018,94.9
2018,94.9
2018,98.3
2018,100.3
2019,103.3
2019,97.2
2019,100.1
2019,101.6
2019,101.4
2019,99
2019,99.5
2019,100.1
2019,99.7
2019,97.8
2019,101.8
2019,103.6
2019,103.1
2019,95.1
2019,100.1
2019,99.6
2019,96
2019,99.8
2019,99.2
2019,104.7
2019,98.5
2019,97.9
2019,100.5
2019,98
2019,101.9
2019,99.6
2019,96.3
2019,99.4
2019,100.2
2019,105.2
