"","x"
"2236",-0.0520895116526868
"2237",-0.0599051450259788
"2238",-0.0558951205942639
"2239",-0.0520740841086494
"2240",-0.053208133014251
"2241",-0.0428199491166142
"2242",-0.0469250538299409
"2243",-0.0561068069285567
"2244",-0.0522462702378748
"2245",-0.0470753936652074
"2246",-0.0494152243869138
"2247",-0.0441469428430101
"2248",-0.0418019663871299
"2249",-0.0486741901188199
"2250",-0.0534222423495907
"2251",-0.0520054312571831
"2252",-0.0489265692138217
"2253",-0.0547336298841417
"2254",-0.0438702518955306
"2255",-0.0421997307693431
"2256",-0.0498566445937906
"2257",-0.0382780034077232
"2258",-0.042834812605424
"2259",-0.0449146961169323
"2260",-0.0510141839641217
"2261",-0.0544696487719375
"2262",-0.0501542991802535
"2263",-0.0388570111366172
"2264",-0.0395156581370153
"2265",-0.0469183066175213
"2266",-0.0506070851426596
"2267",-0.0465988606648111
"2268",-0.0348437444525743
"2269",-0.0497372092755682
"2270",-0.049530332932311
"2271",-0.0488805415157387
"2272",-0.0500472024531921
"2273",-0.0499365728897729
"2274",-0.0515940212160985
"2275",-0.0505656928156401
"2276",-0.0465028390053003
"2277",-0.0480232761737868
"2278",-0.0562539753051899
"2279",-0.0547934978193757
"2280",-0.0632992279447718
"2281",-0.0459024028390978
"2282",-0.0518270073616564
"2283",-0.0548257541707547
"2284",-0.0545186728941239
"2285",-0.0384805224990665
"2286",-0.0605137468776451
"2287",-0.0520858625971044
"2288",-0.0591464487201903
"2289",-0.0488405505681284
"2290",-0.0418133660016276
"2291",-0.0430730231243139
"2292",-0.0418972636549365
"2293",-0.0539341201621606
"2294",-0.0552622228430399
"2295",-0.0562322148454486
"2296",-0.0505692720657192
"2297",-0.0624307678191245
"2298",-0.054935602819832
"2299",-0.0453242135993312
"2300",-0.0651100282508061
"2301",-0.059854618111683
"2302",-0.0624253472406171
"2303",-0.0466198508262227
"2304",-0.0382238842141654
"2305",-0.0629348900729639
"2306",-0.0432818760030333
"2307",-0.047766929119257
"2308",-0.0466688175708316
